TWEET;CREENCIA;CONFIANZA
Check this video out -- The Business of Climate Change Conference 2009 [link];Yes;1
@SooperMexican Global warming. Clearly.;Yes;0.6061
@andychrism Yes. I have heard at least one person make the connection between the volcano and global warming.;Yes;0.5978
Environmental Groups Praise BASIC Meeting on Climate Change: Environmental groups are giving qualified praise to a... [link];Yes;0.7971
"Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes ... [link]";Yes;0.7774
"Don Blankenship: Mine Safety Regulators ""As Silly as Global Warming"" [link]";No;1
Street-corner Global-warming Counsel: Urgh, certain elements of this item in Sunday's Washington Post, •À_Five Myths... [link];Yes;0.567
Are you ready for the climate change? PLI is with Environmental Regulation & Commercial Implications 2010: How the... [link];Yes;0.5971
LIVE TONIGHT: Fellow Heather Rogers joins Climate Change Expert James Hansen to discuss REAL solutions to Climate... [link];Yes;0.8221
Plan B: California Braces for Climate Change. [link];Yes;0.5121
Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link];Yes;0.7967
@angiemartinez & it's about 2 be 86 degrees out here in NYC, shiiiiiitttt, fuck glodman/sachs, Obama better get a plan 4 this global warming;Yes;0.6122
Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link];Yes;0.7925
Climate change & sustainability will be a key driver of future economic development. Listen at [link];Yes;0.7874
Frederic Hague at #PEN: climate change isn't just a alarm bell. It's a whole blinking discotech;Yes;0.5778
US Generals say: Climate Change Threatens America's Security: The Pentagon has made it well known that it consider... [link];Yes;1
Even the generals know climate change is going to screw us. [link];Yes;1
Government Report Says Global Warming May Cause Cancer, Mental Illness [link];Yes;0.6224
RT @disturbedwater: Climate change increases heat waves, floods: EPA [link];Yes;0.8157
RT @sciencedaily: Plants remain an effective way of tackling global warming [link];Yes;1
"So far in that class I have gotten into ""heated discussion"" with global climate change denier and w/ student that nothing is ""their fault.""";Yes;1
RT @Newsweek: Global Warming Kills Forests In Colorado [link];Yes;1
EPA Confirms Climate IS Changing: In another display of the sea change that has occurred at the US Environmental P... [link];Yes;1
Must See Places Before They Disappear! : Europe...[PICS]: If Global Warming Predictions prove to be true, the foll... [link];Yes;0.7853
RT @quixotecenter: Combating climate change: lessons from the world•À_s indigenous peoples [link];Yes;0.8275
@chrisdodd: I live in CT. Please support the climate bill and strong action on climate change!;Yes;1
RT @danlatorre: James Hansen/Heather Rogers, Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 [link];Yes;0.7949
CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link];Yes;0.6021
CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link];Yes;0.5763
Climate change melts two glaciers|BILLINGS, Mont. ? Glacier National Park has lost two more of its namesake .. [link];Yes;1
CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link];Yes;0.8243
CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link];Yes;0.6065
CLIMATE CHANGE: Forests Not for Absorbing Carbon [link];Yes;1
RT @danielsaudade: What beautiful fall weather this morning, New York! Thanks climate change! Bleh!;Yes;0.5857
What beautiful fall weather this morning, New York! Thanks climate change! Bleh!;Yes;0.6105
Climate Change Threatens Japan's Cherry Blossoms | Environment ...: If you aren't familiar with the culture, Japan... [link];Yes;1
Wed @sciam podcast: Mountain Vs. Valley Temps Stretch Apart With Climate Change [link];Yes;1
Mountain Vs. Valley Temps Stretch Apart With Climate Change [link];Yes;0.8166
CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link];Yes;0.6329
Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link];Yes;1
Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link];Yes;1
Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link];Yes;1
RT @Newsweek: Global Warming Kills Forests In Colorado [link];Yes;1
Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link];Yes;0.6448
Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link];Yes;0.8133
South Asian nations to fight climate change: Foreign ministers of eight South Asian nations met in this secluded H... [link];Yes;0.5862
Climate change increases heat waves, floods|WASHINGTON (Reuters) - Deaths from heat waves, property damage from .. [link];Yes;1
James Hansen & Heather Rogers - Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 @Demos_Org [link];Yes;0.5699
I LOVE FROG's LEAP!!!! Seriously. RT @grist: What climate change means for the wine industry (via @theclimatedesk) [link];Yes;0.819
Report: Save the Whales and They'll Save Us from Global Warming [link];Yes;0.823
Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show]:  Toward the end of Wor... [link];Yes;1
"#EPA report documents ""very real"" impacts from #climate change in 22 of 24 indicators studied: [link]";Yes;1
"#Canadian #CEOs more keen on #green than global counterparts; preparing for impacts of climate change...[link]";Yes;0.7896
RT @carbonmarket: Ask the G8 & G20 to support #biochar. Fight climate change & food shortage! Check this HuffPo post: [link];Yes;0.617
RT @christellar: Whale DooDoo could help fight #climate change? Sure! Why not!? [link];Yes;0.7868
Global warming science good news - Soils release less carbon than though as world warms: [link];Yes;0.8236
So it*s April 27th, Phoenix has 90•_Á weather & it might snow in New York today.. Hmmmm.. Global warming MUCH !;Yes;0.7863
Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link];Yes;1
Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link];Yes;1
Cleaner Air Could Speed Global Warming|Hugh Pickens writes \Scientists estimate that the US Clean Air Act has cut .. [link];Yes;0.7835
"Person #1:""Snow, then 65 degrees on the same day? Weather doesn't even surprise me anymore."" Person #2:""That's why global warming will win.""";Yes;0.8121
RT @Newsweek: Global Warming Kills Forests In Colorado [link];Yes;1
RT @jerryjamesstone: Alaska Before the Effects of Global Warming [pics]: [link];Yes;1
RealDocWatson on global warming: Go to Antarctica and stake a claim now! It will be like Florida in a few years!;Yes;0.774
How much trouble does global warming mean for agriculture? Just ask the wine industry. [link];Yes;1
Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show] [link];Yes;1
Climate Change: From Paris to the Alps, European Places in Peril (photos) [link];Yes;1
M Report: Cleaner Air Could Actually Intensify Global Warming: As much of the world marked Earth Day this past week, the Environmental...;Yes;0.8018
RT @Newsweek: Global Warming Kills Forests In Colorado [link];Yes;1
Global warming is a threat, after all|Tim Blair rounds up the latest news from the wild frontiers of global .. [link];Yes;1
Kuna Indians Prepare For Relocation As Traditional Homes Sink Due To Climate Change [link];Yes;1
"How Global Warming Is Killing California's Wine Buzz: Dr. Kimberley Cahill presented on ""Climate Change in Califor... [link]";Yes;1
GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link];Yes;1
GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link];Yes;1
Good going douche. I'm sure there is no climate change in your backass world - Graham move imperils Obama agenda - [link];Yes;0.8017
Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link];Yes;1
Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link];Yes;1
Bats, Birds and Lizards Can Fight Climate Change By Eating Insects: Birds, bats and lizards may play an important... [link];Yes;0.8149
RT @indiaenvportal: Make IT green: cloud computing and its contribution to climate change  [link];Yes;0.6484
RT @HeidiAmes: Climate change favors invasive species over indigenous ones. 30% of plants Thoreau saw are now extinct. [link];Yes;1
scary RT @ClimateProject Climate change altering U.S. seasons: Spring 10 days early: [link];Yes;1
RT @Newsweek: Global Warming Kills Forests In Colorado [link];Yes;1
MediaGlobal report on special Tipping Point Earth Day event: Science and art mobilize to fight climate change [link];Yes;0.7884
Global Warming Kills Forests In Colorado [link];Yes;1
Combating climate change: lessons from the world's indigenous peoples: When I arrived at the United Nations climat... [link];Yes;0.599
Africa: Meteorology Services Gear Up for Climate Change: On the continent most vulnerable to climate c... [link];Yes;0.8814
China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link];Yes;1
China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link];Yes;0.776
Now on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link];Yes;1
Official NASA Report: Sun Causes Climate Change:  [link];Yes;1
RT @TreeHugger RT @huffpostgreen well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link];Yes;0.6584
RT @sciam: Impacts of Climate Change Extend to Human Health [link];Yes;1
Impacts of Climate Change Extend to Human Health [link];Yes;1
Alpha Phi Alpha Takes on Climate Change and Energy Efficiency - [link];Yes;0.8256
Natural variability does not explain global warming, climate scientists tell popular TV meteorologist [link];Yes;0.634
Rebecca Solnit: 350 Degrees of Inseparability: The Good News About the Very Bad News (About Climate Change) [link];Yes;0.6458
Watch video: Climate change threatens sacred Tibetan mountain, including land known as Shangri-La [link];Yes;1
African Meteorology Services Gear Up for Climate Change. (america.gov) #IRI [link];Yes;0.5944
Economists Say Climate Change Is Bad For Economy [link];Yes;0.7866
Economists Say Climate Change Is Bad For Economy [link];Yes;0.646
Report: Allergy Season to Get Worse with Climate Change (Time.com) [link];Yes;0.817
Don•À_t Kill Bill •À_ Save the Climate Change Accountability Act! [link];Yes;1
RT @Oxfam #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link];Yes;0.5976
Denis Hayes, founder of Earth Day, compares global climate change to Irish Famine (IrishCentral) News Weather Politics [link];Yes;0.6359
RT @Oxfam: #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link];Yes;1
ITS #EARTHDAY!!! Be aware of what you consume, waste, & how you treat this place. we only have 1 & as we can see global warming is in effect;Yes;1
Earth Day: Ben Verwaayen on what we're doing to curb climate change [link];Yes;0.8136
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link];Yes;1
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link];Yes;0.8078
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link];Yes;0.8221
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link];Yes;1
10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link];Yes;0.6015
Climate change could raise cost of U.S. allergies (Reuters) [link];Yes;0.5851
Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... [link];Yes;0.596
well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link];Yes;1
Military leads fight against climate change [link];Yes;0.8037
Military leads fight against climate change: The U.S. military, the government's largest fuel buyer, is leading th... [link];Yes;0.8201
10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link];Yes;0.5685
Swedish expert says CO2 is not the main cause of global warming|Swedish climate expert Dr. Fred Goldberg has said .. [link];Yes;0.6099
Fighting poverty and global warming in Africa [link];Yes;1
RT @greenforyou: Treating Climate Change as a Curable Disease | Wired Science | Wired.com #green [link];Yes;0.5973
Thursday on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link];Yes;1
UN •À_ Only Global Cooperation Can Prevent Runaway Climate Change, Secretary •À_: The United Nations seeks dialogue, i... [link];Yes;1
Carbon offsets: How a Vatican forest failed to reduce global warming [link];Yes;1
Carbon offsets: How a Vatican forest failed to reduce global warming [link];Yes;1
"rt @democracy_now ""Most Important Event in Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey [link]";Yes;1
Military leads fight against climate change: Pew [link];Yes;1
Report identifies 11 diseases & health issues affctd by climate change. Once u inclde mental health evrything's @ stake [link];Yes;0.7808
For Earth Day: Resources on coping with climate change: [link];Yes;1
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link];Yes;1
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link];Yes;1
RT @egeemnz @mrdannyglover i support world people's conf on climate change in cochabamba,bolivia.watch live [link];Yes;0.8046
Barrett: better to have lots of small protocols on climate change than pushing for one comprehensive one;Yes;1
Topography of mountains could complicate rates of global warming [link];Yes;1
RT @mrdannyglover i support the world people's conference on climate change in cochabamba, bolivia. watch live now at [link];Yes;0.6141
Many global issues require universal co-operation to address e.g. smallpox, ozone layer, climate change;Yes;0.5849
RT @indiawater: Boiling Point: Containing the spill over of climate change in the Indian subcontinent - A•À_ [link];Yes;0.5362
No link now between Eyjafjallaj•__kull and climate change, but a warming world could trigger earthquakes, landslides... [link];Yes;0.6195
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link];Yes;0.8168
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link];Yes;0.8033
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link];Yes;0.8133
Carbon offsets: How a Vatican forest failed to reduce global warming [link];Yes;1
Carbon offsets: How a Vatican forest failed to reduce global warming [link];Yes;0.7937
Ethiopia: Climate Change Increasing Poverty And Vulnerability [link];Yes;1
Ethiopia: Climate Change Increasing Poverty And Vulnerability: Small-scale farmers and pastoralists i... [link];Yes;1
"RT @democracy_now: ""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link]";Yes;0.8272
"""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link]";Yes;0.8148
RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link];Yes;1
RT @energysection: Backgrounder: China's major policies to tackle climate change since year 2000.. [link];Yes;0.5833
UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link];Yes;0.8026
UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link];Yes;0.8125
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link];Yes;1
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link];Yes;1
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link];Yes;1
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link];Yes;1
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link];Yes;0.6167
Climate Change: Could NYC Get Katrina-Like Flood in a Warmer, Wetter Future? - Sea Level Rise of 2 Feet in 70yrs [link];Yes;0.7732
Climate Change: Geologists Drill Into Antarctica & Find Troubling Signs 4 Ice Sheets' Future •À_  Melt Could Come FAST [link];Yes;1
"""Either Capitalism dies or Mother Earth does"" Evo Morales Claims in the People's World Conference on Climate Change [link]";Yes;0.8205
RT @rubberstamprosk: RT @MotherJones: Yet another gift from global warming: increased allergy attacks [link];Yes;1
Africa: Time Bomb Awaiting Africa: THERE is no doubt that climate change as an environmental issue ha... [link];Yes;1
Buying carbon offsets may ease eco-guilt but not global warming: [link];Yes;0.6772
"RT @Qorianka: All Eyes on #Cochabamba Those alrdy suffering from global warming 'll havechancetospeakout"" [link]";Yes;1
Migratory Birds' New Climate Change Strategy: Stay Home [link];Yes;0.7887
On ocean floor populations of organisms despite little oxygen. global warming cause oxygen depletion&reduce biodiversity[link];Yes;1
Join us for a discussion on Earth Day 4/22: Climate Change & Food Security - Irreversible Destiny? [link];Yes;0.7789
Pat Mooney on the Dangers of Geoengineering and Manipulating the Planet to Combat Climate Change [link];Yes;0.605
Seasonal Allergies Getting Worse From Climate Change [link];Yes;1
Just because I believe in global warming, peeps thinks I should believe in god instead. Why??;Yes;1
Seasonal Allergies Getting Worse From Climate Change [link];Yes;0.6652
Seasonal Allergies Getting Worse From Climate Change [link];Yes;1
@Zener39 I advise everyone who thinks global warming is dead to buy oceanfront property and live there.  See ya!;Yes;1
Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link];Yes;1
Mary Ellen Harte and John Harte: Addressing Climate Change: Winning the War on Sustainability: At its heart, clim... [link];Yes;0.7923
RT @Drudge_Report: STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link];Yes;0.6131
Increasingly, corporations are concluding climate change is real. Betting on Climate Change | Wired.com [link];Yes;0.5843
"Right on! Richard Branson's #EarthDay message 2 biz ""Get ur house in order.Fight global warming!#green #eco [link]";Yes;0.7916
[#Meat-Wise]  Cynthia Bateman on Meat-Wise Monday: How Animal Agriculture Makes Global Warming Worse [link];Yes;1
Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link];Yes;0.6037
STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link];Yes;0.6063
Global warming, melting ice caps could trigger more volcanic eruptions: [link];Yes;1
@LilFerret hey! We came up with all kinds of ideas for fixing global warming! Loved my Environmentalism class. *sighs*;Yes;1
An Overview of the Green Car Revolution | Going Green: The increasing awareness about the threat of global warming... [link];Yes;1
Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link];Yes;0.8113
"2nd eruption of Hekla in Iceland. Let's call 2010, the year the Earth struck back. ""This is for global warming and THIS is for oil spills!""";Yes;1
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link];Yes;1
RT @EpiscopalRelief: Bishop Lane, #Episcopal Dio of #Maine: Climate change most important issue of our time - #Bangor Daily Nws [link];Yes;0.8036
Cool it, global warming is bad enough without you heating things up.|In the interest of honest discussion, can we .. [link];Yes;1
RT @InvasiveNotes: RT @RareWildlifeGuy: Climate change: Migration patterns have changed for 20 billion birds:   [link];Yes;1
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link];Yes;0.7973
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link];Yes;1
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link];Yes;0.814
Just briefed on global cooling & volcanoes via @abc But I wonder ... if it gets to the stratosphere can it slow/improve global warming??;Yes;0.7834
Climate Change-ing your Allergies [link];Yes;0.6015
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link];Yes;1
RT @beckbasher: RT @IanDavidB: RT @Shoq: CLIMATE CHANGE DENIERS: Bobby Jindal mocked volcano warnings. Read the papers lately? Start thinking for yourselves;Yes;0.5904
RT @TEDNews: Cara Mertes at #tedxvolcano: We're all stranded this weekend. And we're getting a sneak preview of climate change. We have to adapt.;Yes;0.8233
"Larry Brilliant at #TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socmedia @enviro";Yes;0.8105
"Larry Brilliant at TEDxVolcano: ""We have to fight for science; the single most important thing we face is climate change"" #socent #green";Yes;1
Damn man that ash cloud in Europe is crazy, they say due to global warming with the volcano activating,getting crazy;Yes;0.7788
RT @TEDNews: Larry Brilliant at #tedxvolcano: Climate change is exacerbating all other crises of our age. But climate science is now under attack.;Yes;0.8451
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link];Yes;1
Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link];Yes;1
Global Warming Causes Volcano Eruptions -- By: Jonah Goldberg: From Reuters: OSLO (Reuters) - A thaw of Iceland's... [link];Yes;0.794
Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link];Yes;1
"Climate Change & Volcanic Activity: ""Ice Cap Thaw May Awaken Icelandic Volcanoes [link]";Yes;0.7738
•À_No Rain in the Amazon: How South America•À_s Climate Change Affects Entire Planet•À_ -Interview of Nikolas Kozloff (vid) [link];Yes;1
Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link];Yes;0.8176
RT @bruces *Hmmm, they rather buried the lede here: Iceland glaciers melt from global warming, then volcanoes go off: [link];Yes;0.7959
Not sure if this is consensus, but: scientist warns climate change will lead to more volcano crises due to melting ice. [link];Yes;0.617
Wishing I was in Cochabamba at the People's World Conference on Climate Change and the Rights of Mother Earth @boliviaun;Yes;0.8121
I feel that already RT @organicnewyork Climate change making seasonal allergies worse. Near-record highs this Spring [link];Yes;1
RT @organicnewyork: Climate change making seasonal allergies worse.  Near-record highs this Spring.  [link];Yes;1
Like Icelandic volcanic eruptions disrupting your air travel? Climate change = glacier thaw = more of it. [link];Yes;1
Cochabamba Summit Offers New Approach to Combating Climate Change [link];Yes;0.7951
Climate Change is Making You Sneeze: [link];Yes;1
ENVIRONMENT: Climate of change: From something as simple as reminding computer users to power down when not workin... [link];Yes;0.5934
Professor?s Perspective: Reasons to be Concerned about Climate Change|Spring in Connecticut brings renewal, .. [link];Yes;1
The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. [link];Yes;1
The need to switch to renewable energy|Climate scientists have long warned us that global warming is accelerating .. [link];Yes;1
"Climate Change culprit for ""Off-the-Charts"" Pollen Counts... [link]";Yes;0.8164
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link];Yes;0.8205
Allergy Season To Worsen With Climate Change: Report: A new report released on Wednesday by the National Wildlife... [link];Yes;1
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link];Yes;1
How do we solve this global warming thing? [link];Yes;0.7997
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link];Yes;0.8731
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link];Yes;0.7796
Coalition of the Tired of Waiting: Fighting Climate Change at Ground Level [link];Yes;0.6111
How do we solve this global warming thing? [link];Yes;1
How do we solve this global warming thing? [link];Yes;0.8182
Report: Allergy Season to Get Worse with Climate Change (Time.com) [link];Yes;0.8033
Cute. I mention global warming and a denialist sends me a link to a Finnish newspaper article purportedly refuting it.;Yes;0.7862
Is nationalizing the energy industry necessary to fight global warming?  [link];Yes;0.7995
Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. [link];Yes;1
Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. [link];Yes;1
Iceland volcano not likely to slow global warming|A vast cloud from an intensifying volcanic eruption in Iceland .. [link];Yes;1
reading from @time Allergies Worse Than Ever? Blame Global Warming [link];Yes;1
2/3rds of Tbaggers don't think climate change is a serious problem. As I said, they're ignorant.;Yes;1
Missing' heat may affect future climate change [link];Yes;0.5899
Climate Change - Building a Green Economy [link];Yes;1
Climate change threatening Glacier National Park and Montana's economy - Examiner.com [link];Yes;0.798
New York: Climate change could raise cost of allergies [link];Yes;0.5979
Ecotone: #Climate change from a #population perspective [link];Yes;0.581
Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. [link];Yes;0.8767
Think your allergies are bad now? Wait until climate change kicks in, Michig.. [link];Yes;1
Exclusive: Climate change could raise cost of U.S. allergies| Reuters [link];Yes;0.8037
Spring storm season starting a little late this year???  Must be global warming!;Yes;0.6128
Kenya: Extreme Weather Tests Pastoralist Perceptions: The effects of climate change - such as drought... [link];Yes;0.7933
Climate Change is Not Just About the Climate, it is About Our Lives : TreeHugger [link];Yes;1
All 30 Major League Baseball Teams Throw Curve to Climate Change Deniers [link];Yes;0.6015
Climate Change - 100 Endangered Places and How to Save Them - Newsweek [link];Yes;0.8172
Tip of the Day: Plant One Tree on your Birthday - Plants absorb CO2 which helps reduce Global Warming.;Yes;1
"United States Must Lead on Climate Change •À_ Kerry; Climate and Energy Bill Has Multiple Benefits #green [link]";Yes;0.7759
Green:Net: How the Internet, Computing Can Fight Climate Change [link];Yes;0.7693
